视频地址,弹幕地址,弹幕时间,弹幕内容
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-19 20:40:59,所以韩国女性觉醒程度最高
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-19 20:39:57,那这个小孩在学校是不是一对一被老师们教啊，好恐怖
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-19 21:06:10,韩国是真的狠，说到做到
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-19 20:35:59,俺也一样
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-19 20:34:22,踩在脚下（物理上）
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-19 20:36:57,精神状态还好吗
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-19 20:39:20,小孩都在公司练习室里（）
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-19 21:27:39,难怪我说他为啥要抢女儿呢
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-19 20:40:06,日本的话婴儿车里可能是一窝兔子
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-19 20:33:07,在妈妈肚子里就开始学再次重逢的世界
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-19 20:33:47,西班牙交响曲
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-19 20:42:28,哈哈哈哈哈哈是个有趣的踩有钱人的路线了哈哈哈哈
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-19 20:33:19,职业愿望+1
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-20 20:02:21,韩女 吾辈楷模
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-19 20:47:17,？？？原来离谱成这样，也不怪韩女权有时候会极端
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-20 12:03:22,韩女真的很团结，不爱男
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-20 02:53:11,东亚三爹谁笑谁啊哈哈哈
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-19 20:42:05,“Not shy not me”
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-20 09:29:15,连电竞圈都有前后辈八零就可想而知了
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-19 21:46:10,韩女！！我的偶像！！
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-20 11:44:25,韩女很团结勇敢
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-20 07:27:16,三国手牵手哈……
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-19 20:44:42,攻击性极强哈哈
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-19 20:50:34,三体人：什么动静？
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-20 00:08:16,5万打发叫花子呢
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-19 20:32:23,这段我真的笑死
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-19 20:32:12,动作指导：吴京、张益达（doge）
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-19 20:39:45,韩国人真的把睡眠进化掉了！
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-20 23:17:21,吾辈楷模，韩女说到做到
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-19 21:00:34,我现在不是厌男 是厌人
https://www.bilibili.com/video/BV1BY4y1X7zT,http://comment.bilibili.com/1060308428.xml,2023-03-19 21:07:29,韩女真的说到做到，我很钦佩
